,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,n_sets delta w/ hydra_v6b_python,signal_score delta w/ hydra_v6b_python,n_sets delta w/ hydra_v6_fastridefix,signal_score delta w/ hydra_v6_fastridefix
90,deadlift hands on hips,MVP,673,14,1.51%,85.71%,100.00%,1,0.14285714,94.48%,129,88.97%,-5.00,-1.04%,-1.00,-5.98%
91,deadlift kickstand alternating arms straight out,List B,1477,5,6.43%,20.00%,100.00%,1,0.8,99.17%,66,96.58%,0.00,5.36%,#N/A,#N/A
92,deadlift kickstand alternating hands on hips,List B,1479,1,16.67%,0.00%,0.00%,0,-2,37.93%,12,91.93%,#N/A,#N/A,#N/A,#N/A
93,deadlift kickstand single side arms by side,List B,1476,6,22.47%,66.67%,66.67%,0,1.5,96.19%,41,79.78%,#N/A,#N/A,#N/A,#N/A
94,deadlift single dumbbell,MVP,676,2,0.00%,100.00%,100.00%,1,0,99.31%,20,97.78%,#N/A,#N/A,-7.00,0.55%
95,diagonal chop bodyweight,List A,1065,10,39.94%,30.00%,60.00%,0,3.9,90.01%,145,79.39%,-8.00,13.77%,-6.00,-10.22%
96,diamond push up on knees,List B,1664,1,0.00%,100.00%,100.00%,1,0,96.59%,10,92.50%,#N/A,#N/A,#N/A,#N/A
97,dumbbell lat pull over alternating knees bent,List B,1571,3,100.00%,0.00%,0.00%,0,-13.333333,0.00%,40,0.00%,-1.00,-20.35%,#N/A,#N/A
98,dumbbell lat pull over alternating table top,List B,1572,3,100.00%,0.00%,0.00%,0,-12.666667,0.00%,38,0.00%,0.00,-24.55%,#N/A,#N/A
99,dumbbell lat pull over knees bent,List B,1566,3,100.00%,0.00%,0.00%,0,-10.666667,0.00%,32,0.00%,0.00,-29.21%,#N/A,#N/A
100,dumbbell lat pull over legs at table top,List B,1567,2,100.00%,0.00%,0.00%,0,-11.5,0.00%,23,0.00%,0.00,-33.33%,#N/A,#N/A
101,dumbbell lat pull over single dumbbell,List B,1569,1,100.00%,0.00%,0.00%,0,-10,0.00%,10,0.00%,0.00,-9.30%,#N/A,#N/A
102,dumbbell lat pullover single side,List B,1568,16,100.00%,0.00%,0.00%,0,-6.4375,0.00%,103,0.00%,0.00,-47.34%,#N/A,#N/A
103,dumbbell pass through on knees,List A,1141,13,21.35%,15.38%,46.15%,0,0.15384615,98.60%,127,62.69%,0.00,5.89%,-4.00,2.85%
104,dumbbell pass through on toes,List A,1142,15,10.00%,46.67%,73.33%,0,-0.2,99.86%,150,56.32%,0.00,-7.59%,-3.00,-6.71%
105,dumbbell push up on knees,MVP,1530,3,3.70%,66.67%,100.00%,1,0.33333333,100.00%,28,78.42%,2.00,-10.27%,-2.00,-9.72%
106,dumbbell push up on toes,MVP,1529,1,0.00%,100.00%,100.00%,1,0,100.00%,11,98.17%,0.00,8.67%,-3.00,3.40%
107,dumbbell swing alternating single arm passing dumbbell,List A,679,13,11.18%,30.77%,76.92%,0,0.61538462,89.95%,137,87.73%,-1.00,-4.92%,-3.00,-2.19%
108,dumbbell swing both arms double dumbbell,List B,680,19,8.98%,26.32%,84.21%,1,0.89473684,92.75%,190,96.15%,2.00,1.93%,#N/A,#N/A
109,dumbbell swing both arms single dumbbell,List A,681,19,18.16%,42.11%,68.42%,0,-1.3157895,73.07%,205,86.31%,2.00,-2.68%,0.00,-9.14%
110,dumbbell swing single arm,List B,684,18,36.67%,55.56%,66.67%,0,3.66666667,91.19%,186,83.74%,-2.00,-7.92%,#N/A,#N/A
111,dumbbell swing suitcase,List A,687,9,10.99%,33.33%,88.89%,0,1,97.56%,85,91.81%,0.00,3.14%,-1.00,-0.96%
112,dumbbell thruster alternating,MVP,689,14,6.60%,57.14%,78.57%,1,0.64285714,92.83%,141,97.56%,3.00,3.64%,0.00,-0.70%
113,dumbbell thruster classic,MVP,688,18,6.65%,55.56%,88.89%,1,0.38888889,92.27%,177,98.75%,3.00,4.66%,6.00,0.21%
114,dumbbell thruster single arm,List B,690,20,27.39%,50.00%,75.00%,0,1.7,92.88%,185,96.07%,9.00,4.78%,#N/A,#N/A
115,dumbbell thruster to rotational press both arms,MVP,691,11,7.20%,36.36%,100.00%,1,0.63636364,97.52%,114,92.23%,2.00,2.04%,1.00,-0.70%
116,forearm side plank hip dip hand behind head on toes,List B,1577,5,22.86%,40.00%,60.00%,0,-1.6,100.00%,35,5.98%,#N/A,#N/A,#N/A,#N/A
117,forearm side plank hip dip hand behind head with knee down,List B,1578,10,19.17%,40.00%,70.00%,0,-1.1,98.29%,62,9.48%,#N/A,#N/A,#N/A,#N/A
118,forearm side plank hip dip hand on hip on toes,List B,1580,8,6.37%,62.50%,100.00%,1,-0.125,99.70%,48,15.41%,#N/A,#N/A,#N/A,#N/A
119,forearm side plank hip dip hand on hip with knee down,List B,1579,10,16.43%,40.00%,70.00%,0,0.9,99.51%,64,12.56%,#N/A,#N/A,#N/A,#N/A
120,forearm side plank hip dip hand on leg on toes,List B,1581,10,24.38%,40.00%,50.00%,0,-1.9,98.31%,69,11.45%,#N/A,#N/A,#N/A,#N/A
121,forearm side plank hip dip hand on leg with knee down,List B,1587,10,18.05%,40.00%,50.00%,0,-0.7,99.06%,63,8.62%,#N/A,#N/A,#N/A,#N/A
122,forearm side plank hip dip hand up on toes,List B,1588,8,2.08%,87.50%,100.00%,1,-0.125,99.92%,48,19.76%,#N/A,#N/A,#N/A,#N/A
123,forearm side plank hip dip hand up with knee down,List B,1583,10,0.00%,100.00%,100.00%,1,0,100.00%,65,26.42%,#N/A,#N/A,#N/A,#N/A
124,forearm side plank hip dip support with top arm in front of body,List B,1584,8,3.87%,75.00%,100.00%,1,0,97.37%,54,58.74%,#N/A,#N/A,#N/A,#N/A
125,french doors kneeling alternating with resting arm in,MVP,1319,4,8.13%,25.00%,100.00%,1,-0.75,96.60%,38,56.02%,0.00,20.43%,-8.00,-2.48%
126,french doors kneeling both arms,MVP,1145,4,2.78%,75.00%,100.00%,1,-0.25,96.91%,38,60.80%,0.00,-4.75%,-7.00,-14.21%
127,french doors standing alternating with resting arm in,MVP,1320,20,2.81%,75.00%,100.00%,1,0.05,99.04%,200,72.78%,0.00,16.45%,0.00,15.18%
128,french doors standing both arms,MVP,1148,20,1.50%,85.00%,100.00%,1,0.15,99.37%,198,77.82%,0.00,0.67%,0.00,-2.41%
129,french doors standing single arm,MVP,1149,8,4.16%,62.50%,87.50%,1,-0.125,99.34%,127,68.47%,0.00,18.28%,-6.00,1.05%
130,front lunge arms by side,MVP,700,6,9.54%,50.00%,66.67%,1,0.83333333,92.79%,55,84.83%,0.00,16.97%,-2.00,9.63%
131,front lunge arms out laterally,MVP,704,9,6.48%,55.56%,77.78%,1,0.44444444,96.42%,96,74.68%,0.00,-4.75%,2.00,-6.78%
132,front lunge arms overhead,MVP,702,7,14.60%,28.57%,57.14%,0,0,92.77%,69,87.36%,0.00,5.81%,-1.00,3.02%
133,front lunge arms straight out,MVP,701,14,10.16%,57.14%,92.86%,0,1.28571429,96.52%,139,95.83%,2.00,2.61%,2.00,0.62%
134,front lunge hands on hips,MVP,705,7,5.87%,57.14%,85.71%,1,0.57142857,91.33%,69,80.15%,0.00,7.23%,-1.00,-2.14%
135,front lunge runner arms,MVP,707,12,13.24%,58.33%,91.67%,0,0.91666667,92.10%,112,96.28%,2.00,3.23%,-2.00,0.70%
136,front lunge weights hanging,MVP,708,10,8.89%,60.00%,80.00%,1,0.8,95.46%,96,97.49%,0.00,3.08%,-4.00,0.11%
