,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,MARE delta w/ hydra_v5_fastridefix,n_sets delta w/ hydra_v5_fastridefix,is_FA delta w/ hydra_v5_fastridefix,signal_score delta w/ hydra_v5_fastridefix
42,chest fly standing staggered both arms,MVP,1051,12,5.11%,50.00%,91.67%,1,0.42,97.35%,138,96.88%,0.00%,0.00,0.00%,-0.80%
43,clamshells from laying,List A,587,17,9.79%,52.94%,82.35%,1,-1.00,98.93%,201,64.93%,0.89%,0.00,-0.01%,-0.32%
44,clean both arms hang,List A,1058,20,8.78%,60.00%,95.00%,1,0.85,98.10%,193,91.23%,0.44%,0.00,-0.18%,-0.34%
45,clean single arm alternating,List A,1060,16,14.91%,68.75%,68.75%,0,1.50,97.82%,160,95.28%,8.10%,0.00,-0.10%,-0.56%
46,concentrated curl kneeling lunge,List A,1030,18,8.84%,50.00%,72.22%,1,0.56,97.24%,183,71.78%,-0.06%,0.00,-0.18%,-7.30%
47,cross body curl kneeling alternating with resting arm down,MVP,588,16,4.03%,87.50%,93.75%,1,-0.31,92.74%,169,95.59%,1.24%,0.00,-0.01%,0.49%
48,cross body curl standing alternating with resting arm down,MVP,592,16,0.52%,93.75%,100.00%,1,-0.06,95.44%,160,90.37%,-2.29%,0.00,0.56%,-1.64%
49,cross body curl standing single arm with resting arm down,MVP,593,10,9.79%,60.00%,90.00%,1,-1.80,95.90%,196,97.20%,0.00%,0.00,0.02%,0.80%
50,crunch arms above you,List A,1082,18,10.07%,55.56%,77.78%,0,-0.44,99.98%,195,55.35%,1.56%,0.00,0.00%,-4.50%
51,crunch arms overhead,List A,1081,18,7.91%,72.22%,83.33%,1,0.06,99.12%,178,62.84%,3.08%,0.00,0.06%,-2.00%
52,crunch table top,List A,1083,18,10.33%,44.44%,72.22%,0,-0.67,99.75%,191,23.04%,0.99%,0.00,0.00%,-4.89%
53,deadlift arms by side,MVP,671,15,6.22%,80.00%,86.67%,1,-0.60,87.36%,143,87.28%,-0.74%,0.00,-0.07%,-2.49%
54,deadlift arms straight out,MVP,672,15,4.67%,93.33%,93.33%,1,-0.47,94.35%,144,95.48%,-1.41%,0.00,0.24%,1.16%
55,deadlift hands on hips,MVP,673,15,5.48%,86.67%,86.67%,1,-0.27,89.82%,151,89.45%,1.41%,0.00,-0.16%,-5.50%
56,deadlift romanian,MVP,675,10,1.68%,80.00%,100.00%,1,0.20,90.19%,98,98.61%,0.00%,0.00,-0.43%,-0.19%
57,deadlift single dumbbell,MVP,676,9,7.98%,55.56%,88.89%,1,-1.44,93.20%,128,96.46%,-1.67%,0.00,-0.18%,-0.78%
58,deadlift suitcase,MVP,677,7,9.09%,85.71%,85.71%,1,-1.00,93.98%,72,97.61%,0.00%,0.00,-0.23%,0.18%
59,diagonal chop bodyweight,List A,1065,16,10.15%,68.75%,87.50%,0,0.75,95.52%,318,85.87%,-0.49%,0.00,-0.01%,-3.74%
60,dumbbell pass through on knees,List A,1141,17,13.33%,35.29%,64.71%,0,0.71,98.29%,174,69.94%,-0.18%,0.00,0.13%,10.10%
61,dumbbell pass through on toes,List A,1142,18,15.98%,44.44%,55.56%,0,-0.94,95.33%,180,62.17%,0.05%,-1.00,-0.43%,-0.86%
62,dumbbell push up on knees,MVP,1530,5,7.71%,60.00%,80.00%,1,0.20,97.58%,44,94.71%,2.00%,0.00,-0.45%,6.57%
63,dumbbell push up on toes,MVP,1529,4,0.00%,100.00%,100.00%,1,0.00,98.43%,40,94.86%,0.00%,0.00,0.85%,0.09%
64,dumbbell swing alternating single arm passing dumbbell,List A,679,16,8.46%,37.50%,81.25%,1,-0.63,96.44%,178,87.89%,-1.98%,0.00,-0.41%,-2.03%
65,dumbbell swing both arms single dumbbell,List A,681,19,5.70%,57.89%,94.74%,1,0.05,96.20%,201,94.05%,-0.43%,0.00,-0.12%,-1.40%
66,dumbbell swing suitcase,List A,687,10,3.67%,60.00%,100.00%,1,-0.20,90.47%,107,93.01%,-1.33%,0.00,-0.41%,0.24%
67,dumbbell thruster alternating,MVP,689,14,11.72%,57.14%,71.43%,0,-1.29,97.76%,168,97.54%,0.00%,0.00,0.33%,-0.73%
68,dumbbell thruster classic,MVP,688,12,0.00%,100.00%,100.00%,1,0.00,97.30%,121,98.28%,-1.67%,0.00,0.04%,-0.26%
69,dumbbell thruster to rotational press both arms,MVP,691,10,0.00%,100.00%,100.00%,1,0.00,98.05%,99,92.23%,-2.00%,0.00,0.02%,-0.69%
70,french doors kneeling alternating with resting arm in,MVP,1319,12,4.85%,58.33%,91.67%,1,-0.33,97.61%,123,61.44%,-0.76%,0.00,0.38%,2.93%
71,french doors kneeling both arms,MVP,1145,11,1.92%,81.82%,100.00%,1,0.00,98.43%,111,74.08%,1.01%,0.00,0.31%,-0.93%
72,french doors standing alternating with resting arm in,MVP,1320,20,1.00%,90.00%,100.00%,1,0.10,99.40%,198,69.13%,-0.83%,0.00,0.19%,11.52%
73,french doors standing both arms,MVP,1148,20,1.00%,90.00%,100.00%,1,0.10,99.44%,211,77.68%,-0.92%,0.00,0.00%,-2.54%
74,french doors standing single arm,MVP,1149,14,0.00%,100.00%,100.00%,1,0.00,99.22%,245,72.45%,-0.42%,0.00,0.01%,5.04%
75,front lunge arms by side,MVP,700,8,3.19%,62.50%,100.00%,1,-0.38,95.10%,92,77.54%,-1.39%,0.00,-0.03%,2.34%
76,front lunge arms out laterally,MVP,704,7,2.86%,85.71%,85.71%,1,-0.29,95.17%,73,75.10%,-5.71%,0.00,-0.39%,-6.37%
77,front lunge arms overhead,MVP,702,8,5.00%,87.50%,87.50%,1,-0.50,97.48%,80,82.35%,0.00%,0.00,-0.32%,-1.99%
78,front lunge arms straight out,MVP,701,12,2.42%,83.33%,91.67%,1,0.25,88.80%,120,96.92%,-2.22%,0.00,0.08%,1.70%
79,front lunge hands on hips,MVP,705,8,1.25%,87.50%,100.00%,1,-0.13,96.43%,79,79.36%,-1.39%,0.00,0.13%,-2.93%
80,front lunge runner arms,MVP,707,14,2.42%,71.43%,100.00%,1,0.00,96.90%,151,95.16%,1.43%,0.00,0.38%,-0.42%
81,front lunge weights hanging,MVP,708,14,0.00%,100.00%,100.00%,1,0.00,97.16%,139,97.08%,0.00%,0.00,-0.18%,-0.30%
82,front lunge weights racked,MVP,710,12,2.50%,83.33%,91.67%,1,-0.25,97.51%,119,37.25%,0.00%,0.00,0.13%,-59.66%
83,front lunge with curl,List A,706,9,0.00%,100.00%,100.00%,1,0.00,94.15%,95,96.90%,-1.11%,0.00,1.08%,-0.48%
84,front raise kneeling alternating with resting arm down,MVP,716,5,0.00%,100.00%,100.00%,1,0.00,99.47%,50,95.58%,-2.00%,0.00,0.46%,-1.18%
85,front raise kneeling both arms,MVP,718,10,1.00%,90.00%,100.00%,1,-0.10,99.23%,104,99.01%,-2.00%,0.00,0.04%,-0.03%
86,front raise kneeling single arm with resting arm down,MVP,719,12,5.20%,33.33%,83.33%,1,0.17,96.35%,220,93.04%,1.21%,0.00,0.58%,-0.92%
87,front raise standing alternating with resting arm down,MVP,731,16,4.31%,68.75%,93.75%,1,-0.44,97.12%,167,90.38%,0.00%,0.00,0.17%,-6.30%
88,front raise standing alternating with resting arm up,List A,728,12,13.33%,25.00%,83.33%,0,0.67,99.60%,121,89.90%,0.83%,0.00,-0.04%,0.79%
89,front raise standing both arms,MVP,729,15,1.33%,86.67%,100.00%,1,-0.13,98.01%,142,99.20%,0.00%,0.00,-0.25%,0.00%
90,front raise standing single arm with resting arm down,MVP,730,11,8.18%,54.55%,90.91%,1,-1.27,97.21%,209,94.85%,0.91%,0.00,0.26%,-1.26%
91,front raise standing single arm with resting arm up,List A,727,12,23.32%,25.00%,58.33%,0,2.67,93.59%,173,97.14%,-0.34%,0.00,-0.09%,0.49%
92,front to back lunge arms by side,List A,1164,6,10.91%,66.67%,83.33%,0,0.83,94.55%,66,89.00%,-0.52%,0.00,0.13%,3.90%
93,front to back lunge weights hanging,List A,1169,19,6.67%,52.63%,68.42%,1,-0.89,93.09%,319,91.13%,-0.40%,0.00,-0.29%,-0.55%
94,front to back lunge with rotation,List A,1163,11,26.34%,36.36%,54.55%,0,-0.09,94.84%,166,95.08%,2.58%,0.00,0.02%,1.70%
95,hand release pushup on knees,List A,304,16,2.91%,75.00%,100.00%,1,0.25,96.43%,125,93.75%,-2.14%,0.00,-0.39%,-1.44%
96,hand release pushup on knees arms extended,List A,1503,6,13.64%,83.33%,83.33%,0,-1.50,99.00%,66,13.17%,-3.18%,0.00,-0.02%,7.63%
97,hand release pushup on toes,List A,594,13,1.54%,92.31%,100.00%,1,0.08,93.23%,66,94.60%,-1.54%,0.00,-0.05%,1.97%
98,hand release pushup on toes arms extended,List A,1502,5,25.33%,60.00%,60.00%,0,-2.80,98.51%,54,5.72%,-1.67%,0.00,0.09%,-0.08%
99,hip bridge repping hands bent at 90,List A,599,20,1.41%,90.00%,95.00%,1,0.05,100.00%,209,78.65%,0.50%,0.00,0.00%,-5.42%
100,lateral lunge alternating single dumbbell,MVP,749,15,2.00%,80.00%,100.00%,1,0.07,90.42%,150,93.72%,-4.15%,0.00,-0.29%,5.59%
101,lateral lunge arms by side,MVP,740,20,4.13%,85.00%,95.00%,1,-0.20,84.90%,196,96.41%,-1.00%,0.00,-0.26%,-0.06%
102,lateral lunge arms by side dumbbell,MVP,750,11,7.47%,63.64%,81.82%,1,-0.55,88.81%,104,97.31%,0.00%,0.00,0.35%,-0.54%
103,lateral lunge arms straight out,MVP,737,7,3.02%,71.43%,100.00%,1,-0.29,85.53%,70,79.99%,-1.43%,0.00,0.61%,-0.84%
104,lateral lunge hands on head,MVP,738,6,0.00%,100.00%,100.00%,1,0.00,93.51%,59,74.76%,0.00%,0.00,-0.10%,3.84%
105,lateral lunge hands on hips,MVP,739,12,11.46%,83.33%,83.33%,0,0.17,90.17%,111,94.06%,-0.93%,0.00,-0.23%,-1.29%
106,lateral lunge left,MVP,319,8,5.81%,50.00%,100.00%,1,-0.25,90.69%,62,81.17%,1.79%,0.00,-0.05%,-1.96%
107,lateral lunge swing to arms overhead,MVP,746,8,4.89%,50.00%,100.00%,1,0.25,89.94%,82,97.25%,0.00%,0.00,-0.52%,1.34%
108,lateral lunge weights racked,MVP,751,18,2.74%,77.78%,94.44%,1,-0.17,97.81%,179,76.27%,0.45%,0.00,0.08%,6.83%
