,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,MARE delta w/ supermodel_v5_hydra,n_sets delta w/ supermodel_v5_hydra,is_FA delta w/ supermodel_v5_hydra
107,lateral lunge swing to arms overhead,MVP,746,8,6.14%,37.50%,100.00%,1,0.13,87.89%,82,96.05%,0.00%,0.00,1.39%
108,lateral lunge weights racked,MVP,751,17,5.89%,64.71%,88.24%,1,-0.47,95.22%,169,73.78%,-0.23%,-1.00,0.05%
109,lateral lunge with runners arms,MVP,744,8,3.57%,87.50%,87.50%,1,-0.50,78.82%,89,91.11%,-1.25%,0.00,-0.59%
110,lateral raise kneeling alternating with resting arm down,MVP,770,3,5.92%,33.33%,100.00%,1,0.67,87.67%,37,97.85%,0.00%,0.00,-1.24%
111,lateral raise kneeling both arms,MVP,772,6,0.00%,100.00%,100.00%,1,0.00,91.67%,54,98.34%,0.00%,0.00,0.89%
112,lateral raise kneeling eccentric,MVP,769,7,4.76%,85.71%,85.71%,1,-0.29,95.36%,66,97.69%,0.00%,0.00,-0.21%
113,lateral raise kneeling lunge left alternating with resting arm down,MVP,757,12,1.04%,91.67%,100.00%,1,0.08,99.08%,121,97.09%,0.00%,0.00,0.21%
114,lateral raise kneeling lunge left single arm with resting arm down,MVP,756,13,0.77%,84.62%,100.00%,1,0.00,98.00%,205,96.23%,0.00%,0.00,0.49%
115,lateral raise kneeling lunge right both arms,MVP,765,14,0.00%,100.00%,100.00%,1,0.00,98.96%,138,98.20%,0.00%,0.00,0.17%
116,lateral raise kneeling single arm with resting arm down,MVP,773,6,0.00%,100.00%,100.00%,1,0.00,96.26%,89,96.80%,0.00%,0.00,0.48%
117,lateral raise standing alternating with resting arm down,MVP,780,8,3.78%,62.50%,100.00%,1,-0.38,91.29%,78,94.88%,2.53%,0.00,0.26%
118,lateral raise standing both arms,MVP,778,16,0.00%,100.00%,100.00%,1,0.00,95.53%,161,98.60%,0.00%,0.00,-0.17%
119,lateral raise standing eccentric,MVP,775,7,1.43%,85.71%,100.00%,1,0.14,95.24%,75,97.97%,0.00%,0.00,-0.25%
120,lateral raise standing single arm with resting arm down,MVP,779,6,3.33%,50.00%,100.00%,1,0.50,96.74%,96,97.88%,0.00%,0.00,0.62%
121,neutral grip chest press hook lying both arms,MVP,1212,19,7.60%,78.95%,84.21%,1,-0.47,93.40%,202,86.69%,3.63%,1.00,-3.73%
122,neutral grip chest press table top alternating with resting arm up,List A,1228,11,10.41%,54.55%,72.73%,0,-0.73,99.14%,114,71.45%,0.91%,0.00,0.08%
123,neutral grip chest press table top both arms,MVP,1229,8,0.00%,100.00%,100.00%,1,0.00,99.87%,80,78.81%,0.00%,0.00,0.00%
124,overhead extension kneeling both arms,MVP,805,16,8.43%,18.75%,93.75%,1,0.63,99.76%,170,96.31%,0.63%,0.00,0.01%
125,overhead extension kneeling lunge right one dumbbell,MVP,787,18,11.83%,44.44%,88.89%,0,0.56,99.56%,186,87.02%,1.57%,0.00,0.02%
126,overhead extension kneeling one dumbbell,MVP,786,9,10.50%,22.22%,77.78%,0,0.22,100.00%,113,89.10%,0.00%,0.00,0.00%
127,overhead extension kneeling right lunge both arms,MVP,799,19,6.36%,52.63%,89.47%,1,0.32,98.21%,186,86.50%,-1.93%,0.00,-0.10%
128,overhead extension kneeling single arm with resting arm down,MVP,802,18,0.97%,83.33%,94.44%,1,-0.11,99.85%,262,94.96%,-0.99%,0.00,0.31%
129,overhead extension standing alternating with resting arm down,MVP,812,6,0.00%,100.00%,100.00%,1,0.00,99.22%,55,94.00%,0.00%,0.00,0.17%
130,overhead extension standing both arms,MVP,810,11,13.30%,36.36%,72.73%,0,1.09,99.21%,111,73.46%,1.44%,0.00,-0.05%
131,overhead extension standing one dumbbell,MVP,807,20,16.81%,45.00%,70.00%,0,-0.40,98.61%,220,87.84%,-0.05%,0.00,-0.03%
132,overhead extension standing single arm,MVP,811,19,6.59%,36.84%,73.68%,1,0.89,96.41%,307,94.71%,1.45%,0.00,0.31%
133,overhead press kneeling alternating resting arm down,MVP,831,18,1.62%,83.33%,100.00%,1,-0.06,94.94%,184,98.44%,-0.56%,0.00,-0.14%
